med_group,concept_id
Xanthines,36217480
Xanthines,36217769
Xanthines,36217770
Xanthines,36218042
Xanthines,36218043
Xanthines,36218044
Xanthines,36218045
Xanthines,36218046
Xanthines,36218047
Xanthines,36218048
Xanthines,36218049
Xanthines,36218050
Xanthines,36218051
Xanthines,36218052
Xanthines,36218054
Xanthines,36218055
Xanthines,36218056
Xanthines,36218057
Xanthines,36218058
Xanthines,36219299
Xanthines,36219300
Xanthines,36219860
Xanthines,36219861
Xanthines,36219862
Xanthines,36219863
Xanthines,36220165
Xanthines,36220166
Xanthines,36220167
Xanthines,36220168
Xanthines,36220169
Xanthines,36220173
Xanthines,36220174
Xanthines,36220175
Xanthines,36220176
Xanthines,36220177
Xanthines,36220178
Xanthines,36220179
Xanthines,36220180
Xanthines,36220408
Xanthines,36220409
Xanthines,36221977
Xanthines,36221978
Xanthines,36221979
Xanthines,36221980
Xanthines,36221981
Xanthines,36223606
Xanthines,36223607
Xanthines,36224441
Xanthines,36224442
Xanthines,36224443
Xanthines,36225369
Xanthines,36225370
Xanthines,36225371
Xanthines,36225390
Xanthines,36226439
Xanthines,36226440
Xanthines,36226459
Xanthines,36226460
Xanthines,36226461
Xanthines,36226591
Xanthines,36226592
Xanthines,36226894
Xanthines,36226895
Xanthines,36226896
Xanthines,36226897
Xanthines,36226898
Xanthines,36226899
Xanthines,36226900
Xanthines,36226901
Xanthines,36227123
Xanthines,36227355
Xanthines,36227356
Xanthines,36247885
Xanthines,36247886
Xanthines,36248406
Xanthines,36248407
Xanthines,36248943
Xanthines,36248944
Xanthines,36248945
Xanthines,36248946
Xanthines,36248947
Xanthines,36248948
Xanthines,40241435
Xanthines,40241436
Xanthines,40241439
Xanthines,40241440
ICS, 792489
ICS, 1366412
ICS, 1593829
ICS, 36219491
ICS, 36236045
ICS, 36243012
ICS, 36246951
LABA, 792489
LABA, 1366412
LABA, 1593829
LABA, 36219491
LABA, 36236045
LABA, 36243012
LABA, 36246951
LAMA, 792489
LABA, 36247873
LABA, 36248472
LABA, 36248858
LABA, 36250059
LABA, 37497333
LAMA, 36247873
LAMA, 36248472
LAMA, 36248858
LAMA, 36250059
LAMA, 37497333
SABA, 36219436
SABA, 36219499
SAMA, 36219436
SAMA, 36219499
